Fastq_Name	ReadGroup
P18758_101_S1_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_101.IDT_10nt_UD_211\\tSM:P18758_101\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_211
P18758_102_S2_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_102.IDT_10nt_UD_212\\tSM:P18758_102\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_212
P18758_103_S3_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_103.IDT_10nt_UD_213\\tSM:P18758_103\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_213
P18758_104_S4_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_104.IDT_10nt_UD_214\\tSM:P18758_104\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_214
P18758_105_S5_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_105.IDT_10nt_UD_215\\tSM:P18758_105\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_215
P18758_106_S6_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_106.IDT_10nt_UD_216\\tSM:P18758_106\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_216
P18758_107_S7_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_107.IDT_10nt_UD_217\\tSM:P18758_107\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_217
P18758_108_S8_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_108.IDT_10nt_UD_218\\tSM:P18758_108\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_218
P18758_109_S9_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_109.IDT_10nt_UD_219\\tSM:P18758_109\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_219
P18758_110_S10_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_110.IDT_10nt_UD_220\\tSM:P18758_110\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_220
P18758_111_S11_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_111.IDT_10nt_UD_221\\tSM:P18758_111\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_221
P18758_112_S12_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_112.IDT_10nt_UD_222\\tSM:P18758_112\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_222
P18758_113_S13_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_113.IDT_10nt_UD_223\\tSM:P18758_113\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_223
P18758_114_S14_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_114.IDT_10nt_UD_224\\tSM:P18758_114\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_224
P18758_115_S15_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_115.IDT_10nt_UD_225\\tSM:P18758_115\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_225
P18758_116_S16_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_116.IDT_10nt_UD_226\\tSM:P18758_116\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_226
P18758_117_S17_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_117.IDT_10nt_UD_227\\tSM:P18758_117\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_227
P18758_118_S18_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_118.IDT_10nt_UD_228\\tSM:P18758_118\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_228
P18758_119_S19_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_119.IDT_10nt_UD_229\\tSM:P18758_119\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_229
P18758_120_S20_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_120.IDT_10nt_UD_230\\tSM:P18758_120\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_230
P18758_121_S21_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_121.IDT_10nt_UD_231\\tSM:P18758_121\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_231
P18758_122_S22_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_122.IDT_10nt_UD_232\\tSM:P18758_122\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_232
P18758_123_S23_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_123.IDT_10nt_UD_233\\tSM:P18758_123\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_233
P18758_124_S24_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_124.IDT_10nt_UD_234\\tSM:P18758_124\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_234
P18758_125_S25_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_125.IDT_10nt_UD_235\\tSM:P18758_125\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_235
P18758_126_S26_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_126.IDT_10nt_UD_236\\tSM:P18758_126\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_236
P18758_127_S27_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_127.IDT_10nt_UD_237\\tSM:P18758_127\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_237
P18758_128_S28_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_128.IDT_10nt_UD_238\\tSM:P18758_128\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_238
P18758_129_S29_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_129.IDT_10nt_UD_239\\tSM:P18758_129\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_239
P18758_130_S30_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_130.IDT_10nt_UD_240\\tSM:P18758_130\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_240
P18758_131_S31_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_131.IDT_10nt_UD_241\\tSM:P18758_131\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_241
P18758_132_S32_L001	@RG\\tID:A00187.430.BHVGGJDSXY.1\\tPL:ILLUMINA\\tLB:P18758_132.IDT_10nt_UD_242\\tSM:P18758_132\\tPU:A00187.430.BHVGGJDSXY.1.IDT_10nt_UD_242
P18758_133_S33_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_133.IDT_10nt_UD_243\\tSM:P18758_133\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_243
P18758_134_S34_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_134.IDT_10nt_UD_244\\tSM:P18758_134\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_244
P18758_135_S35_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_135.IDT_10nt_UD_245\\tSM:P18758_135\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_245
P18758_136_S36_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_136.IDT_10nt_UD_246\\tSM:P18758_136\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_246
P18758_137_S37_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_137.IDT_10nt_UD_247\\tSM:P18758_137\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_247
P18758_138_S38_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_138.IDT_10nt_UD_248\\tSM:P18758_138\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_248
P18758_139_S39_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_139.IDT_10nt_UD_249\\tSM:P18758_139\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_249
P18758_140_S40_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_140.IDT_10nt_UD_250\\tSM:P18758_140\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_250
P18758_141_S41_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_141.IDT_10nt_UD_251\\tSM:P18758_141\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_251
P18758_142_S42_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_142.IDT_10nt_UD_252\\tSM:P18758_142\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_252
P18758_143_S43_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_143.IDT_10nt_UD_253\\tSM:P18758_143\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_253
P18758_144_S44_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_144.IDT_10nt_UD_254\\tSM:P18758_144\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_254
P18758_145_S45_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_145.IDT_10nt_UD_255\\tSM:P18758_145\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_255
P18758_146_S46_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_146.IDT_10nt_UD_256\\tSM:P18758_146\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_256
P18758_147_S47_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_147.IDT_10nt_UD_257\\tSM:P18758_147\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_257
P18758_148_S48_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_148.IDT_10nt_UD_258\\tSM:P18758_148\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_258
P18758_149_S49_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_149.IDT_10nt_UD_259\\tSM:P18758_149\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_259
P18758_150_S50_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_150.IDT_10nt_UD_260\\tSM:P18758_150\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_260
P18758_151_S51_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_151.IDT_10nt_UD_261\\tSM:P18758_151\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_261
P18758_152_S52_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_152.IDT_10nt_UD_262\\tSM:P18758_152\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_262
P18758_153_S53_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_153.IDT_10nt_UD_263\\tSM:P18758_153\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_263
P18758_154_S54_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_154.IDT_10nt_UD_264\\tSM:P18758_154\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_264
P18758_155_S55_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_155.IDT_10nt_UD_265\\tSM:P18758_155\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_265
P18758_156_S56_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_156.IDT_10nt_UD_266\\tSM:P18758_156\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_266
P18758_157_S57_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_157.IDT_10nt_UD_267\\tSM:P18758_157\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_267
P18758_158_S58_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_158.IDT_10nt_UD_268\\tSM:P18758_158\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_268
P18758_159_S59_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_159.IDT_10nt_UD_269\\tSM:P18758_159\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_269
P18758_160_S60_L002	@RG\\tID:A00187.430.BHVGGJDSXY.2\\tPL:ILLUMINA\\tLB:P18758_160.IDT_10nt_UD_270\\tSM:P18758_160\\tPU:A00187.430.BHVGGJDSXY.2.IDT_10nt_UD_270
