Sample_code	Sample_Name	Fastq_Name	Ploidy
P18758_101	BAM13198A_2x	P18758_101_S1_L001	2
P18758_102	BAM13184A_2x	P18758_102_S2_L001	2
P18758_103	BAM13180A_2x	P18758_103_S3_L001	2
P18758_104	BAM13192C_2x	P18758_104_S4_L001	2
P18758_131	MIN11483C_2x	P18758_131_S31_L001	2
P18758_132	MIN11484B_2x	P18758_132_S32_L001	2
P18758_133	MIN11479C_2x	P18758_133_S33_L002	2
P18758_134	MIN11478E_2x	P18758_134_S34_L002	2
P18758_161	MXN12715A_2x	P18758_161_S61_L002	2
P18758_162	MXN12707C_2x	P18758_162_S62_L002	2
P18758_163	MXN12708C_2x	P18758_163_S63_L002	2
P18758_164	MXN12711A_2x	P18758_164_S64_L002	2
P18758_169	KNG11544A_4x	P18758_169_S79_L004	4
P18758_170	MXN12714A_4x	P18758_170_S80_L004	4
P18758_171	MIN11453D_4x	P18758_171_S81_L004	4
P18758_172	MBL8857A_4x	P18758_172_S82_L004	4
P18758_173	BAT13308A_4x	P18758_173_S83_L004	4
P18758_174	WVR12731B_4x	P18758_174_S84_L004	4
P18758_175	NHL12853B_6x	P18758_175_S85_L004	6
P18758_176	SAM13220A_6x	P18758_176_S86_L004	6
P18758_177	BAT13299B_6x	P18758_177_S87_L004	6
P18758_178	HOP966A_6x	P18758_178_S88_L004	6
P18758_201	GLA1_2x	P18758_201_S89_L004	2
P18758_202	GLA2_2x	P18758_202_S90_L004	2
P18758_203	GLA5_2x	P18758_203_S91_L004	2
P18758_204	GLA6_2x	P18758_204_S92_L004	2
