sample totalreads
P18758_101_S1_L001 133173334
P18758_102_S2_L001 144125879
P18758_103_S3_L001 140529927
P18758_104_S4_L001 158339233
P18758_105_S5_L001 143293185
P18758_106_S6_L001 100297755
P18758_107_S7_L001 109067347
P18758_108_S8_L001 107528348
P18758_109_S9_L001 96838229
P18758_110_S10_L001 147795426
P18758_111_S11_L001 100479285
P18758_112_S12_L001 98497186
P18758_113_S13_L001 139139056
P18758_114_S14_L001 147725187
P18758_115_S15_L001 118122945
P18758_116_S16_L001 117887169
P18758_117_S17_L001 113372546
P18758_118_S18_L001 129872090
P18758_119_S19_L001 126726209
P18758_120_S20_L001 120608166
P18758_121_S21_L001 87585364
P18758_122_S22_L001 105036596
P18758_123_S23_L001 152651925
P18758_124_S24_L001 86276359
P18758_125_S25_L001 96291835
P18758_126_S26_L001 129440175
P18758_127_S27_L001 110460280
P18758_128_S28_L001 102257080
P18758_129_S29_L001 95027269
P18758_130_S30_L001 90068963
P18758_131_S31_L001 122925537
P18758_132_S32_L001 81567384
P18758_133_S33_L002 127561615
P18758_134_S34_L002 122563826
P18758_135_S35_L002 117430675
P18758_136_S36_L002 97796461
P18758_137_S37_L002 96175433
P18758_138_S38_L002 147618704
P18758_139_S39_L002 140229681
P18758_140_S40_L002 81377111
P18758_141_S41_L002 110769042
P18758_142_S42_L002 140973598
P18758_143_S43_L002 138946988
P18758_144_S44_L002 77299861
P18758_145_S45_L002 142949855
P18758_146_S46_L002 111240976
P18758_147_S47_L002 140125702
P18758_148_S48_L002 144615967
P18758_149_S49_L002 114683221
P18758_150_S50_L002 131949460
P18758_151_S51_L002 130359155
P18758_152_S52_L002 102032530
P18758_153_S53_L002 119599498
P18758_154_S54_L002 129001650
P18758_155_S55_L002 102903775
P18758_156_S56_L002 109522261
P18758_157_S57_L002 123964067
P18758_158_S58_L002 136203683
P18758_159_S59_L002 106452038
P18758_160_S60_L002 137417864
P18758_161_S61_L002 124611637
P18758_162_S62_L002 146992536
P18758_163_S63_L002 142869983
P18758_164_S64_L002 92492742
P18758_165_S75_L004 138703102
P18758_166_S76_L004 106266209
P18758_167_S77_L004 115600943
P18758_168_S78_L004 82143800
P18758_169_S79_L004 207559480
P18758_170_S80_L004 212177093
P18758_171_S81_L004 220442480
P18758_172_S82_L004 268040285
P18758_173_S83_L004 234708775
P18758_174_S84_L004 256698547
P18758_175_S85_L004 334661574
P18758_176_S86_L004 291497568
P18758_177_S87_L004 279844614
P18758_178_S88_L004 366108791
P18758_201_S89_L004 152172865
P18758_202_S90_L004 238388015
P18758_203_S91_L004 161519912
P18758_204_S92_L004 145875668
